x1, y1, x2, y2, d, a, t
43, 112, 40, 110, 3.606, 0.983, 0
36, 145, 104, 146, 68.414, -1.591, 0
46, 149, 105, 128, 62.686, -1.232, 0
38, 106, 94, 150, 71.044, -2.224, 0
46, 150, 52, 153, 6.003, -2.094, 0
105, 147, 43, 109, 72.719, 1.021, 1
52, 153, 43, 109, 44.675, 0.198, 1
39, 155, 93, 126, 61.824, -1.083, 1
124, 156, 45, 115, 89.006, 1.092, 1
154, 156, 117, 135, 42.544, 1.055, 1
40, 110, 43, 112, 2.720, -2.200, 1
110, 129, 70, 116, 42.113, 1.245, 1
43, 112, 50, 115, 8.062, -1.979, 2
117, 135, 50, 115, 69.481, 1.282, 2
93, 126, 39, 104, 58.866, 1.188, 2
116, 135, 96, 131, 21.095, 1.363, 2
70, 116, 59, 117, 11.536, 1.647, 2
59, 117, 83, 140, 33.242, -2.335, 3
96, 131, 64, 105, 40.537, 0.878, 3
109, 148, 64, 104, 62.936, 0.797, 3
64, 105, 37, 122, 32.523, 2.116, 4
37, 122, 48, 123, 11.045, -1.661, 5
48, 123, 89, 144, 46.065, -2.044, 6
106, 155, 61, 123, 55.218, 0.953, 6
88, 121, 52, 127, 37.254, 1.727, 6
46, 122, 51, 126, 6.638, -2.279, 6
63, 129, 87, 120, 25.515, -1.185, 6
58, 119, 85, 143, 35.410, -2.307, 6
87, 120, 89, 122, 3.310, -2.382, 7
61, 123, 66, 127, 6.403, -2.246, 7
52, 127, 51, 135, 8.609, 3.095, 7
85, 143, 64, 128, 25.065, 0.937, 7
51, 126, 52, 126, 0.738, -0.219, 7
