x1, y1, x2, y2, d, a, t
82, 31, 92, 40, 13.454, -2.304, 1
78, 32, 79, 42, 10.050, -3.042, 1
72, 38, 53, 38, 19.000, 1.571, 2
71, 40, 51, 37, 19.601, 1.427, 2
34, 46, 31, 50, 5.000, 2.498, 3
112, 49, 117, 53, 6.403, -2.246, 3
82, 100, 84, 105, 5.946, -2.799, 3
75, 94, 81, 97, 6.708, -2.034, 3
42, 71, 40, 76, 5.385, 2.761, 3
39, 77, 34, 78, 5.099, 1.768, 3
68, 71, 63, 74, 5.831, 2.111, 3
58, 44, 64, 47, 6.763, -2.050, 3
38, 52, 34, 56, 5.441, 2.200, 3
64, 58, 59, 59, 5.765, 1.612, 3
50, 60, 45, 62, 5.758, 1.926, 3
44, 64, 39, 67, 5.367, 2.034, 3
37, 67, 31, 68, 6.251, 1.699, 3
42, 70, 39, 75, 5.367, 2.678, 3
43, 78, 39, 82, 5.800, 2.332, 3
109, 54, 103, 57, 6.832, 1.911, 3
126, 57, 131, 60, 5.192, -2.159, 3
99, 66, 104, 69, 6.057, -2.159, 3
63, 69, 60, 72, 4.425, 2.279, 3
76, 80, 74, 84, 4.508, 2.678, 3
126, 57, 129, 60, 4.888, -2.356, 3
96, 74, 91, 77, 6.230, 2.159, 3
74, 97, 80, 97, 5.756, -1.526, 3
82, 102, 82, 106, 4.977, 3.142, 3
41, 56, 32, 45, 14.213, 0.686, 4
64, 63, 67, 46, 16.513, -0.195, 4
34, 65, 38, 54, 11.705, -0.349, 4
37, 42, 46, 54, 15.513, -2.532, 4
64, 47, 53, 57, 15.307, 2.290, 4
47, 56, 48, 50, 6.083, -0.165, 5
44, 57, 45, 63, 5.433, -3.031, 5
46, 54, 53, 53, 7.576, -1.418, 5
35, 77, 42, 80, 7.616, -1.976, 6
59, 56, 56, 51, 5.989, 0.532, 6
53, 53, 48, 59, 7.779, 2.344, 6
67, 45, 64, 38, 7.616, 0.405, 7
55, 46, 61, 35, 12.530, -0.499, 7
48, 59, 59, 62, 11.402, -1.837, 7
45, 60, 48, 72, 12.637, -2.823, 7
40, 71, 39, 82, 11.045, 3.051, 7
44, 75, 51, 65, 12.207, -0.611, 8
57, 85, 46, 83, 11.180, 1.391, 8
77, 60, 88, 58, 10.511, -1.406, 8
40, 43, 47, 49, 9.220, -2.279, 9
39, 43, 37, 54, 11.063, 2.923, 9
44, 46, 54, 45, 9.767, -1.385, 9
77, 69, 70, 72, 7.104, 2.007, 10
79, 71, 84, 66, 7.628, -0.897, 11
31, 100, 37, 102, 6.325, -1.893, 11
54, 93, 48, 99, 9.009, 2.300, 11
53, 93, 47, 99, 8.553, 2.356, 11
74, 72, 73, 79, 6.734, 2.961, 11
64, 78, 73, 79, 8.928, -1.616, 11
36, 39, 50, 43, 14.560, -1.849, 15
57, 36, 67, 31, 11.180, -1.107, 16
70, 43, 80, 43, 9.202, -1.549, 19
44, 55, 50, 55, 6.000, -1.571, 19
94, 39, 88, 41, 6.325, 1.893, 20
97, 42, 103, 39, 6.708, -1.107, 20
84, 43, 87, 40, 4.219, -1.022, 20
92, 44, 97, 42, 5.571, -1.204, 20
87, 45, 91, 43, 4.569, -1.166, 20
82, 49, 86, 47, 4.472, -1.107, 20
68, 52, 73, 51, 5.099, -1.373, 20
63, 56, 67, 55, 4.276, -1.383, 20
98, 38, 105, 37, 6.747, -1.362, 20
66, 48, 71, 48, 5.000, -1.571, 20
81, 49, 86, 46, 5.367, -1.107, 20
38, 60, 43, 60, 4.600, -1.571, 20
53, 60, 58, 60, 5.541, -1.484, 20
83, 50, 93, 44, 11.988, -1.085, 21
58, 53, 61, 44, 9.487, -0.322, 21
55, 55, 61, 44, 12.459, -0.589, 21
61, 48, 57, 35, 14.802, 0.339, 21
71, 118, 66, 113, 7.071, 0.785, 23
69, 111, 67, 108, 3.499, 0.540, 24
59, 103, 57, 100, 3.220, 0.464, 24
108, 127, 109, 125, 2.875, -0.047, 24
47, 129, 57, 139, 14.711, -2.337, 26
58, 140, 43, 135, 16.697, 1.241, 29
112, 102, 96, 109, 17.742, 1.974, 29
59, 139, 67, 147, 10.814, -2.314, 29
56, 138, 63, 124, 15.036, -0.499, 30
49, 144, 42, 130, 15.036, 0.499, 30
56, 139, 63, 125, 16.100, -0.464, 30
90, 143, 88, 135, 8.246, 0.245, 31
79, 153, 87, 155, 8.246, -1.816, 31
79, 138, 71, 137, 8.261, 1.449, 31
90, 144, 97, 145, 7.299, -1.736, 31
94, 147, 104, 150, 9.508, -1.826, 31
63, 125, 53, 123, 10.182, 1.429, 31
63, 131, 70, 132, 7.502, -1.699, 31
63, 124, 73, 128, 10.084, -1.977, 31
92, 113, 98, 101, 12.816, -0.532, 32
80, 133, 91, 135, 11.498, -1.799, 32
79, 139, 76, 127, 12.003, 0.184, 32
91, 147, 103, 147, 12.000, -1.571, 32
94, 151, 87, 139, 13.424, 0.497, 32
110, 103, 116, 109, 8.485, -2.356, 32
49, 118, 50, 106, 12.825, -0.062, 32
48, 122, 53, 112, 11.539, -0.448, 32
79, 134, 72, 126, 11.063, 0.709, 32
112, 138, 123, 140, 10.394, -1.764, 32
91, 99, 82, 104, 10.393, 2.070, 32
96, 107, 93, 100, 7.616, 0.405, 33
75, 124, 86, 119, 12.083, -1.144, 33
109, 151, 120, 148, 11.402, -1.305, 33
114, 123, 105, 133, 12.776, 2.404, 33
76, 127, 83, 119, 10.280, -0.647, 33
87, 132, 91, 120, 12.472, -0.276, 33
46, 145, 57, 142, 10.690, -1.267, 33
108, 145, 117, 143, 9.265, -1.331, 33
74, 93, 84, 90, 10.967, -1.332, 33
91, 133, 95, 120, 12.580, -0.278, 33
53, 152, 43, 152, 10.000, 1.571, 34
85, 91, 92, 84, 10.186, -0.813, 34
43, 146, 39, 137, 9.849, 0.418, 34
83, 119, 94, 115, 12.397, -1.259, 34
43, 146, 56, 150, 13.297, -1.845, 34
89, 93, 85, 103, 10.944, 2.742, 34
77, 102, 83, 93, 10.384, -0.588, 34
101, 86, 105, 76, 10.397, -0.374, 34
100, 103, 112, 102, 12.181, -1.452, 34
79, 122, 91, 119, 12.580, -1.292, 34
110, 127, 112, 140, 12.209, -3.026, 34
78, 122, 80, 134, 11.720, -3.039, 34
104, 120, 109, 108, 13.078, -0.409, 35
87, 150, 98, 140, 14.866, -0.833, 35
93, 132, 105, 135, 12.577, -1.841, 35
95, 128, 88, 113, 16.553, 0.437, 35
105, 109, 103, 93, 15.743, 0.084, 35
80, 134, 97, 128, 18.089, -1.256, 35
100, 92, 103, 80, 11.722, -0.319, 35
70, 70, 66, 56, 15.179, 0.322, 35
48, 69, 37, 76, 13.798, 2.093, 35
70, 70, 76, 60, 12.266, -0.534, 35
48, 87, 52, 102, 14.671, -2.877, 35
